Round	True_Min	True_Max	True_Saddle	Model_Min	Model_Max	Model_Saddle	Bottleneck	RMSPE
0	0	0	0	0	0	0	0	-nan
1	0	0	0	0	0	0	0	-nan
2	0	0	0	0	0	0	0	-nan
3	0	0	0	0	0	0	0	-nan
4	0	0	0	0	0	0	0	-nan
5	0	0	0	0	0	0	0	-nan
6	0	0	0	0	0	0	0	-nan
7	0	0	0	0	0	0	0	-nan
8	0	0	0	0	0	0	0	-nan
9	0	0	0	0	0	0	0	-nan
10	0	0	0	0	0	0	0	-nan
11	0	0	0	0	0	0	0	-nan
12	0	0	0	0	0	0	0	-nan
13	0	0	0	0	0	0	0	-nan
14	0	0	0	0	0	0	0	-nan
15	0	0	0	0	0	0	0	-nan
16	0	0	0	0	0	0	0	-nan
17	0	0	0	0	0	0	0	-nan
18	0	0	0	0	0	0	0	-nan
19	0	0	0	0	0	0	0	-nan
